,Precinct,Race,Candidate,Total Votes,Vote Percentage
8491,4063,Mayor,Diana Flores Uriegas,1,0.95
8494,4063,District 2,Rose Requenez Hill,12,11.76
8495,4063,District 2,Edward Earl Giles,3,2.94
8496,4063,District 2,Patrick Jones,4,3.92
8497,4063,District 2,Carla Walker,3,2.94
8498,4063,District 2,Jalen McKee-Rodriguez,53,51.96
8499,4063,District 2,Denise McVea,6,5.88
8500,4063,District 2,James M. Guild,1,0.98
8501,4063,District 2,Michael John Good,1,0.98
8502,4063,District 2,Wendell Carson,1,0.98
8503,4063,District 2,Denise Gutierrez,18,17.65
8506,4065,Mayor,Ray Adam Basaldua,4,1.98
8507,4065,Mayor,Christopher T. Schuchardt,15,7.43
8508,4065,Mayor,Christopher Longoria,5,2.48
8509,4065,Mayor,Ron Nirenberg,135,66.83
8510,4065,Mayor,Armando Dominguez,5,2.48
8511,4065,Mayor,Michael Idrogo,2,0.99
8512,4065,Mayor,Gary Allen,13,6.44
8513,4065,Mayor,Michael Samaniego,9,4.46
8514,4065,Mayor,Diana Flores Uriegas,14,6.93
8517,4065,District 2,Rose Requenez Hill,6,3.0
8518,4065,District 2,Edward Earl Giles,3,1.5
8519,4065,District 2,Patrick Jones,7,3.5
8520,4065,District 2,Carla Walker,10,5.0
8521,4065,District 2,Jalen McKee-Rodriguez,132,66.0
8522,4065,District 2,Denise McVea,8,4.0
8523,4065,District 2,James M. Guild,0,0.0
8524,4065,District 2,Michael John Good,5,2.5
8525,4065,District 2,Wendell Carson,1,0.5
8526,4065,District 2,Denise Gutierrez,28,14.0
8529,4068,Mayor,Ray Adam Basaldua,1,2.27
8530,4068,Mayor,Christopher T. Schuchardt,7,15.91
8531,4068,Mayor,Christopher Longoria,2,4.55
8532,4068,Mayor,Ron Nirenberg,22,50.0
8533,4068,Mayor,Armando Dominguez,1,2.27
8534,4068,Mayor,Michael Idrogo,0,0.0
8535,4068,Mayor,Gary Allen,8,18.18
8536,4068,Mayor,Michael Samaniego,1,2.27
8537,4068,Mayor,Diana Flores Uriegas,2,4.55
8540,4068,District 2,Rose Requenez Hill,2,4.88
8541,4068,District 2,Edward Earl Giles,0,0.0
8542,4068,District 2,Patrick Jones,1,2.44
8543,4068,District 2,Carla Walker,5,12.2
8544,4068,District 2,Jalen McKee-Rodriguez,16,39.02
8545,4068,District 2,Denise McVea,4,9.76
8546,4068,District 2,James M. Guild,1,2.44
8547,4068,District 2,Michael John Good,2,4.88
8548,4068,District 2,Wendell Carson,0,0.0
8549,4068,District 2,Denise Gutierrez,10,24.39
8552,4070,Mayor,Ray Adam Basaldua,13,2.39
8553,4070,Mayor,Christopher T. Schuchardt,57,10.48
8554,4070,Mayor,Christopher Longoria,14,2.57
8555,4070,Mayor,Ron Nirenberg,414,76.1
8556,4070,Mayor,Armando Dominguez,1,0.18
8557,4070,Mayor,Michael Idrogo,1,0.18
8558,4070,Mayor,Gary Allen,20,3.68
8559,4070,Mayor,Michael Samaniego,5,0.92
8560,4070,Mayor,Diana Flores Uriegas,19,3.49
8563,4070,District 2,Rose Requenez Hill,53,9.96
8564,4070,District 2,Edward Earl Giles,16,3.01
8565,4070,District 2,Patrick Jones,28,5.26
8566,4070,District 2,Carla Walker,45,8.46
8567,4070,District 2,Jalen McKee-Rodriguez,304,57.14
8568,4070,District 2,Denise McVea,11,2.07
8569,4070,District 2,James M. Guild,4,0.75
8570,4070,District 2,Michael John Good,10,1.88
8571,4070,District 2,Wendell Carson,2,0.38
8572,4070,District 2,Denise Gutierrez,59,11.09
8575,4075,Mayor,Ray Adam Basaldua,3,3.12
8576,4075,Mayor,Christopher T. Schuchardt,10,10.42
8577,4075,Mayor,Christopher Longoria,0,0.0
8578,4075,Mayor,Ron Nirenberg,74,77.08
8579,4075,Mayor,Armando Dominguez,1,1.04
8580,4075,Mayor,Michael Idrogo,0,0.0
8581,4075,Mayor,Gary Allen,2,2.08
8582,4075,Mayor,Michael Samaniego,1,1.04
8583,4075,Mayor,Diana Flores Uriegas,5,5.21
8586,4075,District 2,Rose Requenez Hill,8,8.33
8587,4075,District 2,Edward Earl Giles,4,4.17
8588,4075,District 2,Patrick Jones,5,5.21
8589,4075,District 2,Carla Walker,3,3.12
8590,4075,District 2,Jalen McKee-Rodriguez,60,62.5
8591,4075,District 2,Denise McVea,1,1.04
8592,4075,District 2,James M. Guild,1,1.04
8593,4075,District 2,Michael John Good,1,1.04
8594,4075,District 2,Wendell Carson,0,0.0
8595,4075,District 2,Denise Gutierrez,13,13.54
8598,4076,Mayor,Ray Adam Basaldua,21,5.36
8599,4076,Mayor,Christopher T. Schuchardt,49,12.5
8600,4076,Mayor,Christopher Longoria,13,3.32
8601,4076,Mayor,Ron Nirenberg,229,58.42
8602,4076,Mayor,Armando Dominguez,2,0.51
8603,4076,Mayor,Michael Idrogo,4,1.02
8604,4076,Mayor,Gary Allen,35,8.93
8605,4076,Mayor,Michael Samaniego,10,2.55
8606,4076,Mayor,Diana Flores Uriegas,29,7.4
8609,4076,District 2,Rose Requenez Hill,76,19.79
8610,4076,District 2,Edward Earl Giles,9,2.34
8611,4076,District 2,Patrick Jones,11,2.86
8612,4076,District 2,Carla Walker,12,3.12
8613,4076,District 2,Jalen McKee-Rodriguez,181,47.14
8614,4076,District 2,Denise McVea,18,4.69
8615,4076,District 2,James M. Guild,6,1.56
8616,4076,District 2,Michael John Good,8,2.08
8617,4076,District 2,Wendell Carson,3,0.78
8618,4076,District 2,Denise Gutierrez,60,15.62
8621,4077,Mayor,Ray Adam Basaldua,14,2.61
8622,4077,Mayor,Christopher T. Schuchardt,84,15.64
8623,4077,Mayor,Christopher Longoria,26,4.84
8624,4077,Mayor,Ron Nirenberg,339,63.13
8625,4077,Mayor,Armando Dominguez,4,0.74
8626,4077,Mayor,Michael Idrogo,0,0.0
8627,4077,Mayor,Gary Allen,37,6.89
8628,4077,Mayor,Michael Samaniego,15,2.79
8629,4077,Mayor,Diana Flores Uriegas,18,3.35
8632,4077,District 2,Rose Requenez Hill,70,13.65
8633,4077,District 2,Edward Earl Giles,15,2.92
8634,4077,District 2,Patrick Jones,28,5.46
8635,4077,District 2,Carla Walker,32,6.24
8636,4077,District 2,Jalen McKee-Rodriguez,244,47.56
8637,4077,District 2,Denise McVea,20,3.9
8638,4077,District 2,James M. Guild,3,0.58
8639,4077,District 2,Michael John Good,12,2.34
8640,4077,District 2,Wendell Carson,6,1.17
8641,4077,District 2,Denise Gutierrez,83,16.18
8644,4082,Mayor,Ray Adam Basaldua,2,1.31
8645,4082,Mayor,Christopher T. Schuchardt,17,11.11
8646,4082,Mayor,Christopher Longoria,4,2.61
8647,4082,Mayor,Ron Nirenberg,115,75.16
8648,4082,Mayor,Armando Dominguez,2,1.31
8649,4082,Mayor,Michael Idrogo,0,0.0
8650,4082,Mayor,Gary Allen,6,3.92
8651,4082,Mayor,Michael Samaniego,2,1.31
8652,4082,Mayor,Diana Flores Uriegas,5,3.27
8655,4082,District 2,Rose Requenez Hill,6,3.77
8656,4082,District 2,Edward Earl Giles,3,1.89
8657,4082,District 2,Patrick Jones,10,6.29
8658,4082,District 2,Carla Walker,14,8.81
8659,4082,District 2,Jalen McKee-Rodriguez,101,63.52
8660,4082,District 2,Denise McVea,4,2.52
8661,4082,District 2,James M. Guild,1,0.63
8662,4082,District 2,Michael John Good,3,1.89
8663,4082,District 2,Wendell Carson,1,0.63
8664,4082,District 2,Denise Gutierrez,16,10.06
8667,4084,Mayor,Ray Adam Basaldua,0,0.0
8668,4084,Mayor,Christopher T. Schuchardt,13,11.93
8669,4084,Mayor,Christopher Longoria,1,0.92
8670,4084,Mayor,Ron Nirenberg,79,72.48
8671,4084,Mayor,Armando Dominguez,1,0.92
8672,4084,Mayor,Michael Idrogo,0,0.0
8673,4084,Mayor,Gary Allen,5,4.59
8674,4084,Mayor,Michael Samaniego,3,2.75
8675,4084,Mayor,Diana Flores Uriegas,7,6.42
8678,4084,District 2,Rose Requenez Hill,11,10.68
8679,4084,District 2,Edward Earl Giles,2,1.94
8680,4084,District 2,Patrick Jones,6,5.83
8681,4084,District 2,Carla Walker,9,8.74
8682,4084,District 2,Jalen McKee-Rodriguez,53,51.46
8683,4084,District 2,Denise McVea,3,2.91
8684,4084,District 2,James M. Guild,2,1.94
8685,4084,District 2,Michael John Good,0,0.0
8686,4084,District 2,Wendell Carson,1,0.97
8687,4084,District 2,Denise Gutierrez,16,15.53
8690,4091,Mayor,Ray Adam Basaldua,4,2.16
8691,4091,Mayor,Christopher T. Schuchardt,37,20.0
8692,4091,Mayor,Christopher Longoria,0,0.0
8693,4091,Mayor,Ron Nirenberg,130,70.27
8694,4091,Mayor,Armando Dominguez,0,0.0
8695,4091,Mayor,Michael Idrogo,1,0.54
8696,4091,Mayor,Gary Allen,6,3.24
8697,4091,Mayor,Michael Samaniego,2,1.08
8698,4091,Mayor,Diana Flores Uriegas,5,2.7
8701,4091,District 2,Rose Requenez Hill,7,3.95
8702,4091,District 2,Edward Earl Giles,5,2.82
8703,4091,District 2,Patrick Jones,6,3.39
8704,4091,District 2,Carla Walker,2,1.13
8705,4091,District 2,Jalen McKee-Rodriguez,113,63.84
8706,4091,District 2,Denise McVea,5,2.82
8707,4091,District 2,James M. Guild,2,1.13
8708,4091,District 2,Michael John Good,3,1.69
8709,4091,District 2,Wendell Carson,1,0.56
8710,4091,District 2,Denise Gutierrez,33,18.64
8713,4093,Mayor,Ray Adam Basaldua,7,1.84
8714,4093,Mayor,Christopher T. Schuchardt,91,23.88
8715,4093,Mayor,Christopher Longoria,11,2.89
8716,4093,Mayor,Ron Nirenberg,194,50.92
8717,4093,Mayor,Armando Dominguez,3,0.79
8718,4093,Mayor,Michael Idrogo,0,0.0
8719,4093,Mayor,Gary Allen,49,12.86
8720,4093,Mayor,Michael Samaniego,18,4.72
8721,4093,Mayor,Diana Flores Uriegas,8,2.1
8724,4093,District 10,Madison Gutierrez,25,6.7
8725,4093,District 10,Robert Flores,26,6.97
8726,4093,District 10,Margaret Sherwood,13,3.49
8727,4093,District 10,Rick Otley,16,4.29
8728,4093,District 10,Bryan R. Martin,22,5.9
8729,4093,District 10,Marc Whyte,239,64.08
8730,4093,District 10,Joel Solis,32,8.58
8733,4094,Mayor,Ray Adam Basaldua,3,0.8
8734,4094,Mayor,Christopher T. Schuchardt,98,26.06
8735,4094,Mayor,Christopher Longoria,8,2.13
8736,4094,Mayor,Ron Nirenberg,199,52.93
8737,4094,Mayor,Armando Dominguez,4,1.06
8738,4094,Mayor,Michael Idrogo,1,0.27
8739,4094,Mayor,Gary Allen,35,9.31
8740,4094,Mayor,Michael Samaniego,22,5.85
8741,4094,Mayor,Diana Flores Uriegas,6,1.6
8744,4094,District 10,Madison Gutierrez,23,6.39
8745,4094,District 10,Robert Flores,44,12.22
8746,4094,District 10,Margaret Sherwood,15,4.17
8747,4094,District 10,Rick Otley,10,2.78
8748,4094,District 10,Bryan R. Martin,22,6.11
8749,4094,District 10,Marc Whyte,194,53.89
8750,4094,District 10,Joel Solis,52,14.44
8753,4095,Mayor,Ray Adam Basaldua,6,2.03
8754,4095,Mayor,Christopher T. Schuchardt,66,22.3
8755,4095,Mayor,Christopher Longoria,7,2.36
8756,4095,Mayor,Ron Nirenberg,162,54.73
8757,4095,Mayor,Armando Dominguez,2,0.68
8758,4095,Mayor,Michael Idrogo,0,0.0
8759,4095,Mayor,Gary Allen,34,11.49
8760,4095,Mayor,Michael Samaniego,11,3.72
8761,4095,Mayor,Diana Flores Uriegas,8,2.7
8764,4095,District 10,Madison Gutierrez,17,5.82
8765,4095,District 10,Robert Flores,22,7.53
8766,4095,District 10,Margaret Sherwood,10,3.42
8767,4095,District 10,Rick Otley,10,3.42
8768,4095,District 10,Bryan R. Martin,27,9.25
8769,4095,District 10,Marc Whyte,169,57.88
8770,4095,District 10,Joel Solis,37,12.67
8773,4096,Mayor,Ray Adam Basaldua,11,4.18
8774,4096,Mayor,Christopher T. Schuchardt,46,17.49
8775,4096,Mayor,Christopher Longoria,10,3.8
8776,4096,Mayor,Ron Nirenberg,143,54.37
8777,4096,Mayor,Armando Dominguez,3,1.14
8778,4096,Mayor,Michael Idrogo,4,1.52
8779,4096,Mayor,Gary Allen,28,10.65
8780,4096,Mayor,Michael Samaniego,11,4.18
8781,4096,Mayor,Diana Flores Uriegas,7,2.66
8784,4096,District 10,Madison Gutierrez,18,7.0
8785,4096,District 10,Robert Flores,28,10.89
8786,4096,District 10,Margaret Sherwood,22,8.56
8787,4096,District 10,Rick Otley,8,3.11
8788,4096,District 10,Bryan R. Martin,32,12.45
8789,4096,District 10,Marc Whyte,121,47.08
8790,4096,District 10,Joel Solis,28,10.89
8793,4098,Mayor,Ray Adam Basaldua,7,2.59
8794,4098,Mayor,Christopher T. Schuchardt,72,26.67
8795,4098,Mayor,Christopher Longoria,12,4.44
8796,4098,Mayor,Ron Nirenberg,127,47.04
8797,4098,Mayor,Armando Dominguez,2,0.74
8798,4098,Mayor,Michael Idrogo,0,0.0
8799,4098,Mayor,Gary Allen,24,8.89
8800,4098,Mayor,Michael Samaniego,19,7.04
8801,4098,Mayor,Diana Flores Uriegas,7,2.59
8804,4098,District 10,Madison Gutierrez,17,6.54
8805,4098,District 10,Robert Flores,26,10.0
8806,4098,District 10,Margaret Sherwood,15,5.77
8807,4098,District 10,Rick Otley,12,4.62
8808,4098,District 10,Bryan R. Martin,17,6.54
8809,4098,District 10,Marc Whyte,148,56.92
8810,4098,District 10,Joel Solis,25,9.62
8813,4099,Mayor,Ray Adam Basaldua,1,0.67
8814,4099,Mayor,Christopher T. Schuchardt,43,28.86
8815,4099,Mayor,Christopher Longoria,6,4.03
8816,4099,Mayor,Ron Nirenberg,80,53.69
8817,4099,Mayor,Armando Dominguez,0,0.0
8818,4099,Mayor,Michael Idrogo,2,1.34
8819,4099,Mayor,Gary Allen,10,6.71
8820,4099,Mayor,Michael Samaniego,4,2.68
8821,4099,Mayor,Diana Flores Uriegas,3,2.01
8824,4099,District 10,Madison Gutierrez,15,10.14
8825,4099,District 10,Robert Flores,18,12.16
8826,4099,District 10,Margaret Sherwood,6,4.05
8827,4099,District 10,Rick Otley,2,1.35
8828,4099,District 10,Bryan R. Martin,8,5.41
8829,4099,District 10,Marc Whyte,73,49.32
8830,4099,District 10,Joel Solis,26,17.57
8833,4101,Mayor,Ray Adam Basaldua,0,0.0
8834,4101,Mayor,Christopher T. Schuchardt,2,33.33
8835,4101,Mayor,Christopher Longoria,0,0.0
8836,4101,Mayor,Ron Nirenberg,3,50.0
8837,4101,Mayor,Armando Dominguez,0,0.0
8838,4101,Mayor,Michael Idrogo,0,0.0
8839,4101,Mayor,Gary Allen,0,0.0
8840,4101,Mayor,Michael Samaniego,0,0.0
8841,4101,Mayor,Diana Flores Uriegas,1,16.67
8844,4101,District 2,Rose Requenez Hill,0,0.0
8845,4101,District 2,Edward Earl Giles,0,0.0
8846,4101,District 2,Patrick Jones,1,16.67
8847,4101,District 2,Carla Walker,2,33.33
8848,4101,District 2,Jalen McKee-Rodriguez,1,16.67
8849,4101,District 2,Denise McVea,0,0.0
8850,4101,District 2,James M. Guild,0,0.0
8851,4101,District 2,Michael John Good,0,0.0
8852,4101,District 2,Wendell Carson,1,16.67
8853,4101,District 2,Denise Gutierrez,1,16.67
8856,4102,Mayor,Ray Adam Basaldua,1,1.22
8857,4102,Mayor,Christopher T. Schuchardt,15,18.29
8858,4102,Mayor,Christopher Longoria,0,0.0
8859,4102,Mayor,Ron Nirenberg,55,67.07
8860,4102,Mayor,Armando Dominguez,1,1.22
8861,4102,Mayor,Michael Idrogo,1,1.22
8862,4102,Mayor,Gary Allen,2,2.44
8863,4102,Mayor,Michael Samaniego,4,4.88
8864,4102,Mayor,Diana Flores Uriegas,3,3.66
8867,4102,District 2,Rose Requenez Hill,5,6.33
8868,4102,District 2,Edward Earl Giles,3,3.8
8869,4102,District 2,Patrick Jones,2,2.53
8870,4102,District 2,Carla Walker,0,0.0
8871,4102,District 2,Jalen McKee-Rodriguez,45,56.96
8872,4102,District 2,Denise McVea,2,2.53
8873,4102,District 2,James M. Guild,1,1.27
8874,4102,District 2,Michael John Good,7,8.86
8875,4102,District 2,Wendell Carson,3,3.8
8876,4102,District 2,Denise Gutierrez,11,13.92
8879,4103,Mayor,Ray Adam Basldua,0,
8880,4103,Mayor,Christopher T. Schuchardt,0,
8881,4103,Mayor,Christopher Longoria,0,
8882,4103,Mayor,Ron Nirenberg,0,
8883,4103,Mayor,Armando Dominguez,0,
8884,4103,Mayor,Michael Idrogo,0,
8885,4103,Mayor,Gary Allen,0,
8886,4103,Mayor,Michael Idrogo,0,
8887,4103,Mayor,Diana Flores Uriegas,0,
8890,4103,District 3,Jayden Muñoz,0,
8891,4103,District 3,Phyllis Viagran,0,
8892,4103,District 3,Erin Gallegos Reid,0,
8893,4103,District 3,Larry La Rose,0,
8896,4104,Mayor,Ray Adam Basaldua,2,0.62
8897,4104,Mayor,Christopher T. Schuchardt,85,26.23
8898,4104,Mayor,Christopher Longoria,9,2.78
8899,4104,Mayor,Ron Nirenberg,159,49.07
8900,4104,Mayor,Armando Dominguez,0,0.0
8901,4104,Mayor,Michael Idrogo,1,0.31
8902,4104,Mayor,Gary Allen,30,9.26
8903,4104,Mayor,Michael Samaniego,34,10.49
8904,4104,Mayor,Diana Flores Uriegas,4,1.23
8907,4104,District 10,Madison Gutierrez,25,7.96
8908,4104,District 10,Robert Flores,41,13.06
8909,4104,District 10,Margaret Sherwood,10,3.18
8910,4104,District 10,Rick Otley,10,3.18
8911,4104,District 10,Bryan R. Martin,23,7.32
8912,4104,District 10,Marc Whyte,164,52.23
8913,4104,District 10,Joel Solis,41,13.06
8916,4106,Mayor,Ray Adam Basaldua,1,2.38
8917,4106,Mayor,Christopher T. Schuchardt,8,19.05
8918,4106,Mayor,Christopher Longoria,3,7.14
8919,4106,Mayor,Ron Nirenberg,24,57.14
8920,4106,Mayor,Armando Dominguez,0,0.0
8921,4106,Mayor,Michael Idrogo,1,2.38
8922,4106,Mayor,Gary Allen,0,0.0
8923,4106,Mayor,Michael Samaniego,1,2.38
8924,4106,Mayor,Diana Flores Uriegas,4,9.52
8927,4106,District 2,Rose Requenez Hill,10,23.81
8928,4106,District 2,Edward Earl Giles,1,2.38
8929,4106,District 2,Patrick Jones,3,7.14
8930,4106,District 2,Carla Walker,1,2.38
8931,4106,District 2,Jalen McKee-Rodriguez,15,35.71
8932,4106,District 2,Denise McVea,1,2.38
8933,4106,District 2,James M. Guild,0,0.0
8934,4106,District 2,Michael John Good,0,0.0
8935,4106,District 2,Wendell Carson,0,0.0
8936,4106,District 2,Denise Gutierrez,11,26.19
8939,4108,Mayor,Ray Adam Basaldua,6,1.14
8940,4108,Mayor,Christopher T. Schuchardt,138,26.29
8941,4108,Mayor,Christopher Longoria,17,3.24
8942,4108,Mayor,Ron Nirenberg,262,49.9
8943,4108,Mayor,Armando Dominguez,5,0.95
8944,4108,Mayor,Michael Idrogo,3,0.57
8945,4108,Mayor,Gary Allen,52,9.9
8946,4108,Mayor,Michael Samaniego,28,5.33
8947,4108,Mayor,Diana Flores Uriegas,14,2.67
8950,4108,District 10,Madison Gutierrez,45,8.75
8951,4108,District 10,Robert Flores,63,12.26
8952,4108,District 10,Margaret Sherwood,24,4.67
8953,4108,District 10,Rick Otley,31,6.03
8954,4108,District 10,Bryan R. Martin,33,6.42
8955,4108,District 10,Marc Whyte,274,53.31
8956,4108,District 10,Joel Solis,44,8.56
8959,4110,Mayor,Ray Adam Basaldua,1,0.36
8960,4110,Mayor,Christopher T. Schuchardt,23,8.27
8961,4110,Mayor,Christopher Longoria,3,1.08
8962,4110,Mayor,Ron Nirenberg,221,79.5
8963,4110,Mayor,Armando Dominguez,1,0.36
8964,4110,Mayor,Michael Idrogo,2,0.72
8965,4110,Mayor,Gary Allen,9,3.24
8966,4110,Mayor,Michael Samaniego,4,1.44
8967,4110,Mayor,Diana Flores Uriegas,14,5.04
8970,4110,District 2,Rose Requenez Hill,14,5.2
8971,4110,District 2,Edward Earl Giles,4,1.49
8972,4110,District 2,Patrick Jones,5,1.86
8973,4110,District 2,Carla Walker,6,2.23
8974,4110,District 2,Jalen McKee-Rodriguez,191,71.0
8975,4110,District 2,Denise McVea,7,2.6
8976,4110,District 2,James M. Guild,2,0.74
8977,4110,District 2,Michael John Good,3,1.12
8978,4110,District 2,Wendell Carson,2,0.74
8979,4110,District 2,Denise Gutierrez,35,13.01
8982,4111,Mayor,Ray Adam Basaldua,0,0.0
8983,4111,Mayor,Christopher T. Schuchardt,0,0.0
8984,4111,Mayor,Christopher Longoria,0,0.0
8985,4111,Mayor,Ron Nirenberg,5,83.33
8986,4111,Mayor,Armando Dominguez,0,0.0
8987,4111,Mayor,Michael Idrogo,0,0.0
8988,4111,Mayor,Gary Allen,1,16.67
8989,4111,Mayor,Michael Samaniego,0,0.0
8990,4111,Mayor,Diana Flores Uriegas,0,0.0
8993,4111,District 2,Rose Requenez Hill,0,0.0
8994,4111,District 2,Edward Earl Giles,0,0.0
8995,4111,District 2,Patrick Jones,0,0.0
8996,4111,District 2,Carla Walker,2,33.33
8997,4111,District 2,Jalen McKee-Rodriguez,4,66.67
8998,4111,District 2,Denise McVea,0,0.0
8999,4111,District 2,James M. Guild,0,0.0
9000,4111,District 2,Michael John Good,0,0.0
9001,4111,District 2,Wendell Carson,0,0.0
9002,4111,District 2,Denise Gutierrez,0,0.0
9005,4112,Mayor,Ray Adam Basaldua,2,0.73
9006,4112,Mayor,Christopher T. Schuchardt,62,22.55
9007,4112,Mayor,Christopher Longoria,5,1.82
9008,4112,Mayor,Ron Nirenberg,177,64.36
9009,4112,Mayor,Armando Dominguez,1,0.36
9010,4112,Mayor,Michael Idrogo,0,0.0
9011,4112,Mayor,Gary Allen,13,4.73
9012,4112,Mayor,Michael Samaniego,7,2.55
9013,4112,Mayor,Diana Flores Uriegas,8,2.91
9016,4112,District 10,Madison Gutierrez,15,5.68
9017,4112,District 10,Robert Flores,13,4.92
9018,4112,District 10,Margaret Sherwood,13,4.92
9019,4112,District 10,Rick Otley,3,1.14
9020,4112,District 10,Bryan R. Martin,13,4.92
9021,4112,District 10,Marc Whyte,160,60.61
9022,4112,District 10,Joel Solis,47,17.8
9025,4113,Mayor,Ray Adam Basaldua,3,2.78
9026,4113,Mayor,Christopher T. Schuchardt,10,9.26
9027,4113,Mayor,Christopher Longoria,2,1.85
9028,4113,Mayor,Ron Nirenberg,77,71.3
9029,4113,Mayor,Armando Dominguez,3,2.78
9030,4113,Mayor,Michael Idrogo,0,0.0
9031,4113,Mayor,Gary Allen,7,6.48
9032,4113,Mayor,Michael Samaniego,2,1.85
9033,4113,Mayor,Diana Flores Uriegas,4,3.7
9036,4113,District 2,Rose Requenez Hill,4,3.81
9037,4113,District 2,Edward Earl Giles,3,2.86
9038,4113,District 2,Patrick Jones,5,4.76
9039,4113,District 2,Carla Walker,9,8.57
9040,4113,District 2,Jalen McKee-Rodriguez,60,57.14
9041,4113,District 2,Denise McVea,4,3.81
9042,4113,District 2,James M. Guild,0,0.0
9043,4113,District 2,Michael John Good,0,0.0
9044,4113,District 2,Wendell Carson,3,2.86
9045,4113,District 2,Denise Gutierrez,17,16.19
9048,4115,Mayor,Ray Adam Basaldua,2,4.26
9049,4115,Mayor,Christopher T. Schuchardt,12,25.53
9050,4115,Mayor,Christopher Longoria,1,2.13
9051,4115,Mayor,Ron Nirenberg,25,53.19
9052,4115,Mayor,Armando Dominguez,0,0.0
9053,4115,Mayor,Michael Idrogo,0,0.0
9054,4115,Mayor,Gary Allen,5,10.64
9055,4115,Mayor,Michael Samaniego,2,4.26
9056,4115,Mayor,Diana Flores Uriegas,0,0.0
9059,4115,District 10,Madison Gutierrez,0,0.0
9060,4115,District 10,Robert Flores,3,6.52
9061,4115,District 10,Margaret Sherwood,3,6.52
9062,4115,District 10,Rick Otley,6,13.04
9063,4115,District 10,Bryan R. Martin,1,2.17
9064,4115,District 10,Marc Whyte,23,50.0
9065,4115,District 10,Joel Solis,10,21.74
9068,4117,Mayor,Ray Adam Basaldua,3,2.11
9069,4117,Mayor,Christopher T. Schuchardt,41,28.87
9070,4117,Mayor,Christopher Longoria,2,1.41
9071,4117,Mayor,Ron Nirenberg,82,57.75
9072,4117,Mayor,Armando Dominguez,0,0.0
9073,4117,Mayor,Michael Idrogo,0,0.0
9074,4117,Mayor,Gary Allen,9,6.34
9075,4117,Mayor,Michael Samaniego,2,1.41
9076,4117,Mayor,Diana Flores Uriegas,3,2.11
9079,4117,District 2,Rose Requenez Hill,9,6.47
9080,4117,District 2,Edward Earl Giles,0,0.0
9081,4117,District 2,Patrick Jones,0,0.0
9082,4117,District 2,Carla Walker,1,0.72
9083,4117,District 2,Jalen McKee-Rodriguez,62,44.6
9084,4117,District 2,Denise McVea,3,2.16
9085,4117,District 2,James M. Guild,0,0.0
9086,4117,District 2,Michael John Good,11,7.91
9087,4117,District 2,Wendell Carson,1,0.72
9088,4117,District 2,Denise Gutierrez,52,37.41
9091,4119,Mayor,Ray Adam Basaldua,1,1.27
9092,4119,Mayor,Christopher T. Schuchardt,13,16.46
9093,4119,Mayor,Christopher Longoria,0,0.0
9094,4119,Mayor,Ron Nirenberg,57,72.15
9095,4119,Mayor,Armando Dominguez,0,0.0
9096,4119,Mayor,Michael Idrogo,0,0.0
9097,4119,Mayor,Gary Allen,4,5.06
9098,4119,Mayor,Michael Samaniego,2,2.53
9099,4119,Mayor,Diana Flores Uriegas,2,2.53
9102,4119,District 2,Rose Requenez Hill,7,9.21
9103,4119,District 2,Edward Earl Giles,2,2.63
9104,4119,District 2,Patrick Jones,2,2.63
9105,4119,District 2,Carla Walker,2,2.63
9106,4119,District 2,Jalen McKee-Rodriguez,52,68.42
9107,4119,District 2,Denise McVea,1,1.32
9108,4119,District 2,James M. Guild,2,2.63
9109,4119,District 2,Michael John Good,0,0.0
9110,4119,District 2,Wendell Carson,0,0.0
9111,4119,District 2,Denise Gutierrez,8,10.53
9114,4120,Mayor,Ray Adam Basaldua,0,0.0
9115,4120,Mayor,Christopher T. Schuchardt,4,16.67
9116,4120,Mayor,Christopher Longoria,0,0.0
9117,4120,Mayor,Ron Nirenberg,17,70.83
9118,4120,Mayor,Armando Dominguez,0,0.0
9119,4120,Mayor,Michael Idrogo,0,0.0
9120,4120,Mayor,Gary Allen,1,4.17
9121,4120,Mayor,Michael Samaniego,0,0.0
9122,4120,Mayor,Diana Flores Uriegas,2,8.33
9125,4120,District 2,Rose Requenez Hill,1,4.35
9126,4120,District 2,Edward Earl Giles,0,0.0
9127,4120,District 2,Patrick Jones,10,43.48
9128,4120,District 2,Carla Walker,1,4.35
9129,4120,District 2,Jalen McKee-Rodriguez,8,34.78
9130,4120,District 2,Denise McVea,0,0.0
9131,4120,District 2,James M. Guild,0,0.0
9132,4120,District 2,Michael John Good,0,0.0
9133,4120,District 2,Wendell Carson,1,4.35
9134,4120,District 2,Denise Gutierrez,2,8.7
9137,4122,Mayor,Ray Adam Basaldua,0,0.0
9138,4122,Mayor,Christopher T. Schuchardt,4,16.0
9139,4122,Mayor,Christopher Longoria,0,0.0
9140,4122,Mayor,Ron Nirenberg,18,72.0
9141,4122,Mayor,Armando Dominguez,0,0.0
9142,4122,Mayor,Michael Idrogo,0,0.0
9143,4122,Mayor,Gary Allen,2,8.0
9144,4122,Mayor,Michael Samaniego,0,0.0
9145,4122,Mayor,Diana Flores Uriegas,1,4.0
9148,4122,District 2,Rose Requenez Hill,3,12.0
9149,4122,District 2,Edward Earl Giles,0,0.0
9150,4122,District 2,Patrick Jones,0,0.0
9151,4122,District 2,Carla Walker,1,4.0
